ID,CITY,CITY_ASCII,COUNTRY
1032155044,Río Mayo,Rio Mayo,ARG
1032163046,Tinogasta,Tinogasta,ARG
1032171567,Ayacucho,Ayacucho,ARG
1032173097,Corrientes,Corrientes,ARG
1032181625,Rafaela,Rafaela,ARG
1032183944,Temperley,Temperley,ARG
1032191344,San Antonio de los Cobres,San Antonio de los Cobres,ARG
1032193694,Castelli,Castelli,ARG
1032203390,Longchamps,Longchamps,ARG
1032210475,El Calafate,El Calafate,ARG
1032210547,Chacabuco,Chacabuco,ARG
1032214150,Pergamino,Pergamino,ARG
1032215828,Santa Rosa,Santa Rosa,ARG
1032221516,San Rafael,San Rafael,ARG
1032232613,Merlo,Merlo,ARG
1032232869,General Levalle,General Levalle,ARG
1032233996,San Miguel de Tucumán,San Miguel de Tucuman,ARG
1032236823,Los Polvorines,Los Polvorines,ARG
1032241314,Libertad,Libertad,ARG
1032241417,Charata,Charata,ARG
1032241641,Mina Clavero,Mina Clavero,ARG
1032251860,Brandsen,Brandsen,ARG
1032251925,Goya,Goya,ARG
1032256650,Wilde,Wilde,ARG
1032258062,San Javier,San Javier,ARG
1032258122,Capilla del Monte,Capilla del Monte,ARG
1032260908,Catamarca,Catamarca,ARG
1032262711,Senillosa,Senillosa,ARG
1032263200,Godoy Cruz,Godoy Cruz,ARG
1032264958,Cañada de Gómez,Canada de Gomez,ARG
1032266693,Paraná,Parana,ARG
1032269915,Chivilcoy,Chivilcoy,ARG
1032281187,Aldo Bonzi,Aldo Bonzi,ARG
1032282782,Villalonga,Villalonga,ARG
1032284763,Venado Tuerto,Venado Tuerto,ARG
1032286116,El Maitén,El Maiten,ARG
1032287957,Nueve de Julio,Nueve de Julio,ARG
1032291724,Tres Arroyos,Tres Arroyos,ARG
1032294439,La Paz,La Paz,ARG
1032296125,Los Menucos,Los Menucos,ARG
1032297325,San Martín,San Martin,ARG
1032302344,Rawson,Rawson,ARG
1032303492,Villa La Angostura,Villa La Angostura,ARG
